Sample,POS_Blank1,POS_Blank2,POS_C_1h_01,POS_C_1h_02,POS_C_1h_03,POS_C_1h_04,POS_C_1h_05,POS_C_1h_06,POS_C_1h_07,POS_C_1h_08,POS_C_1h_09,POS_C_1h_10,POS_C_24h_01,POS_C_24h_02,POS_C_24h_03,POS_C_24h_04,POS_C_24h_05,POS_C_24h_06,POS_C_24h_07,POS_C_24h_08,POS_C_24h_09,POS_C_24h_10,POS_C_6h_01,POS_C_6h_02,POS_C_6h_03,POS_C_6h_04,POS_C_6h_05,POS_C_6h_06,POS_C_6h_07,POS_C_6h_08,POS_C_6h_09,POS_C_6h_10,POS_P_1h_01,POS_P_1h_02,POS_P_1h_03,POS_P_1h_04,POS_P_1h_05,POS_P_1h_06,POS_P_1h_07,POS_P_1h_08,POS_P_1h_09,POS_P_1h_10,POS_P_24h_01,POS_P_24h_02,POS_P_24h_03,POS_P_24h_04,POS_P_24h_05,POS_P_24h_06,POS_P_24h_07,POS_P_24h_08,POS_P_24h_09,POS_P_24h_10,POS_P_6h_01,POS_P_6h_02,POS_P_6h_03,POS_P_6h_04,POS_P_6h_05,POS_P_6h_06,POS_P_6h_07,POS_P_6h_08,POS_P_6h_09,POS_P_6h_10,POS_QC1_1,POS_QC1_10,POS_QC1_11,POS_QC1_12,POS_QC1_13,POS_QC1_2,POS_QC1_3,POS_QC1_4,POS_QC1_5,POS_QC1_6,POS_QC1_7,POS_QC1_8,POS_QC1_9
100.6411__986.26,68.44834,48.30995,59.70071,51.71275,156.19427,18.06516,32.43803,61.63606,106.98181,102.17968,46.46326,152.41038,134.61434,9.78633,160.54385,13.87077,114.49679,192.58083,43.92765,166.01787,164.72225,86.66464,173.45035,87.75441,103.19855,79.94823,94.73804,264.93338,85.37971,34.95435,122.12708,65.52365,85.30283,47.36743,46.18214,294.99422,130.2629,72.21608,191.68998,210.71299,24.62168,235.89073,55.33288,114.93553,47.64377,104.61764,243.21751,64.04841,81.78737,205.3997,136.57006,91.75232,181.97491,49.93478,36.67211,34.87536,86.93245,7.728,16.12477,72.58367,673.8293,84.79074,156.27042,25.72152,187.6412,47.10552,94.67912,111.34018,382.42496,140.53735,124.65062,78.37829,156.05063,111.67618,154.20916
100.6654__185.63,184.27963,204.93137,292.5967,329.45173,64.30642,231.27682,562.17724,414.71046,265.26757,454.56039,223.59348,327.30481,293.40768,411.21129,588.97022,169.12384,147.0598,733.87986,246.13079,360.82067,319.72822,228.00825,332.96428,161.68714,643.41342,305.83206,342.76524,540.47779,294.32897,412.51712,504.1815,879.75001,575.49406,347.30352,408.42676,509.02898,208.41394,187.8639,321.00634,122.94264,494.52293,571.95455,67.15542,444.07321,524.89366,505.44184,471.28178,456.56803,316.9361,172.5164,341.12352,414.48343,862.30973,651.3325,219.2569,378.33671,288.36823,326.28142,183.61918,135.97627,530.90211,471.26351,958.98508,155.79693,374.67555,141.38094,92.9547,395.44468,538.46222,393.87819,1596.06564,309.74991,267.75388,376.05925,190.12214
100.679__510.96,882.17961,655.78011,305.81611,1453.46468,1476.38881,764.94748,1690.36915,1262.68357,1077.7957,962.4351,377.22099,1183.23469,1860.60075,589.98571,1326.28082,826.83884,471.29533,609.39712,780.81877,234.60461,572.97477,503.54948,1073.20012,870.56143,3524.22506,526.7794,1215.24426,1459.3809,1224.81867,456.73024,2123.60828,231.53614,285.91407,1569.87338,486.61048,973.17581,191.83293,243.76697,872.07642,1172.20465,407.04196,1091.11976,1370.87258,679.87569,461.87619,2333.02903,916.33407,1092.45257,355.62834,244.54735,403.52232,1063.78725,565.78629,933.93357,320.08141,848.78888,202.93923,345.96746,330.655,659.98688,1327.36391,1058.6803,382.35143,364.1317,764.89385,253.04134,1416.81607,1935.91639,383.00306,2177.08053,3246.64807,1617.93803,718.8064,487.1914,956.18091
100.8891__936.37,217.65262,73.6427,163.92751,117.78286,429.10523,188.90998,144.36605,666.24925,86.38962,64.1081,89.28067,270.07276,137.55895,19.21183,333.76683,228.40964,101.36846,236.35332,30.35338,36.52467,188.55378,143.71347,109.12397,53.31124,197.78191,145.17441,109.58728,160.82316,384.8813,214.28686,114.26148,108.98355,152.08455,274.03316,137.48378,158.27064,137.24468,125.84929,50.04673,95.7958,106.36411,310.17867,172.41981,319.21152,93.15887,280.7365,556.29314,165.4325,108.72586,15.71968,95.93286,96.18576,134.11717,99.78382,60.57595,56.02255,46.76739,46.11419,629.11983,56.51518,129.07414,145.81573,401.43031,23.45922,35.43402,140.58533,53.42237,103.68392,144.70835,190.18381,143.98173,170.67862,105.41104,70.88085,185.36658
100.9015__176.51,167.62669,294.04208,564.71505,246.30894,392.3474,287.77835,787.08054,541.42018,253.18674,490.64569,218.42147,606.98108,936.13598,233.64649,524.48762,553.6419,476.99063,357.52278,302.55917,368.13977,655.07427,290.61069,497.32207,65.17385,267.12744,372.48555,543.79196,197.77755,277.18195,345.33831,507.9952,113.08915,530.08184,547.05732,198.16955,296.5287,603.0844,1013.01929,390.3579,209.02779,93.89345,447.10696,580.83873,221.93617,155.72333,261.61978,153.12345,138.78539,180.33255,496.05055,453.42608,127.12596,1036.56858,626.70408,57.52202,200.99377,79.39457,273.25755,454.90433,524.78743,335.57379,209.98886,1008.39435,527.14209,138.77129,253.98121,316.76867,346.25128,167.55867,1187.56518,283.42881,382.11423,176.14687,57.19938,145.34443
101.0784__1119.83,37481.16057,22047.79959,12869.37731,12826.36131,13150.15448,11180.51503,9558.27909,147.13476,10695.51969,24153.13591,128.5946,14602.08249,15664.45456,12804.33038,99.66487,18209.34305,16819.85123,33404.63749,19873.65664,11479.87748,12932.598,5670.6989,145.15144,5246.86055,205.12945,180.89686,132.97425,2331.12997,19191.02911,21127.08879,16329.80187,32299.58608,18200.43779,30045.83409,133.50272,14781.61854,9389.31199,5406.70764,133.73426,18010.55403,27636.38915,235.10057,10454.35654,14543.8248,14206.83315,67.12642,19959.49031,41529.24747,132.6986,21682.89819,19838.42787,69431.25935,40032.60788,24150.19653,219.54615,14679.59981,11855.90205,12129.82811,19972.34816,29297.66463,12892.78403,12534.22051,29830.89443,5330.15196,101.9845,11492.95114,8537.8178,28219.70123,17168.30539,24596.03731,14593.35752,10108.85547,12541.05096,17245.33658,401.04698
101.0785__499.96,318.16474,16691.27587,1500.99328,7776.40463,8156.34659,644.37564,18166.99722,2604.81734,186.57653,7642.93753,154.7352,632.96442,23110.52751,330.65865,887.18089,959.65793,1632.18427,673.37112,167.88508,27852.32537,335.04109,21369.94007,478.68682,434.16622,788.82043,3490.19899,22746.75233,105111.9691,27191.88534,287.31867,63961.26314,7419.98613,900.04008,22797.83515,18718.297,2869.21556,595.07528,289.77971,323.97856,155.99939,25425.59541,3476.47517,665.34186,24745.39232,12140.27907,25962.39477,20899.97304,442.63628,3345.70852,1883.04531,743.65137,377.96002,15950.46457,400.61807,178.46202,163.16423,414.91927,275.93438,95870.4198,54417.08336,1065.45657,1005.57251,21347.04474,1828.83808,125.56034,445.46601,501.85032,530.27736,1379.49145,704.65513,393.46464,512.69276,403.85053,1082.64669,260.97429
101.0785__1194.47,21483.54371,15353.22175,13906.45756,469.48149,22774.9879,230.63099,13431.01942,117.60811,25338.33533,77517.70844,8713.59477,157.01643,27916.39134,13302.49611,13409.25807,25297.4248,54919.52183,11461.00524,22157.11022,18529.45268,155.69162,50244.94321,15381.43232,28052.85891,24933.41538,224.96095,26559.5161,15541.88683,15935.32754,14073.09321,212.57859,129.58374,41133.13123,33513.75878,25826.11835,15620.03663,26849.3462,19366.93121,76.77947,21817.34362,41775.72322,118.58688,15894.80361,18405.99737,11344.28468,13342.56006,23838.20514,26486.37371,14685.65634,29652.34583,15011.46956,122.72797,4856.88437,8888.82104,14085.94654,135.38892,136.35292,11420.76826,22411.09307,12711.97004,75245.39702,14088.14142,38192.46991,13495.56681,14789.8278,13275.22211,49499.67002,41842.58974,38446.09353,21334.59561,11408.69882,15569.05481,9820.85974,13869.34619,21171.10541
101.0785__1245.83,11372.41782,19695.08745,12508.73307,82.08146,40997.43021,12763.04164,38955.0206,18216.80401,22201.95015,18855.1326,18541.63542,37.14845,15662.64,13923.58326,15264.71986,12589.11829,18304.06138,41936.19536,42828.57746,13748.0808,15994.42458,16326.11078,204.24524,10548.58045,36382.04899,15450.21074,8722.72939,15618.02629,24583.12721,33020.91427,20617.39347,32186.31066,15405.9309,102.87971,24173.7427,23576.36471,12537.31925,16365.05681,12352.03878,15335.04278,11208.79941,17215.95385,96.79721,184.39935,11347.56337,15006.4085,19977.99959,12634.27801,14872.12908,12044.86701,17100.21083,35779.29026,17423.49406,14029.36001,14156.11653,13372.81106,13674.12414,12859.07105,12414.98303,1830.52453,301.44328,233.55553,64164.82374,10343.03569,13008.31524,12541.43144,2464.56714,22060.65892,29938.74491,45916.92405,84.4594,24930.54553,9035.80266,40294.39781,17398.52402
101.0786__612.67,53791.54556,8022.91204,161.82938,77.16847,12759.72342,171.34816,18201.56068,393.03613,7844.41895,11004.81317,9353.2731,180.77907,79.42852,908.2658,67.79185,13646.35638,9485.5747,19396.23333,10121.26442,12841.46685,11305.24823,162.81981,12119.33338,75.72061,52271.47745,9262.02813,7803.7496,35285.23589,10686.11838,102.26179,9300.08537,11283.79932,10686.13336,7586.23987,38016.19954,37937.55982,9134.5298,409.14078,159.25601,10996.48966,26683.81515,151.50254,7640.40548,8785.69612,23183.28248,262.44519,40962.65447,114.43955,757.92523,10678.08407,12788.85168,61.55994,141.01156,240.96736,267.12832,201.52377,99.91791,8259.36787,7412.71903,8312.35743,557.77756,83.26078,13555.8773,114.00559,167.71553,96.55341,6033.50359,10714.71725,31210.28233,10554.60809,433.80255,10520.84999,8666.1287,46.71135,130.94408
101.0791__341.28,251.71888,16296.2458,23322.6306,31204.32706,28555.76925,12272.5177,16347.41639,10987.54176,15753.28486,20781.52976,9480.81953,11428.21969,16390.37527,21032.31813,15060.65934,22357.54184,10485.99337,27867.99604,16065.10743,31114.45653,16560.48142,31740.54593,10687.63274,21125.09699,14621.74284,25231.0462,14830.77297,10781.06539,26125.12331,19169.931,8660.49788,11922.6464,15092.22323,10729.66685,15347.59303,12138.11377,25034.05442,27438.6719,13398.21383,13621.17083,20650.21159,14308.24635,8572.42922,21443.26573,27654.93311,14794.67839,11714.88717,20040.67119,22395.98945,22123.2656,13017.33845,18520.03934,22582.74094,16964.67181,20398.53709,11685.84642,169.42533,8773.67827,11446.67245,7838.58045,42797.33998,10275.72152,20834.02113,12524.47001,13457.15887,12052.19022,11185.39663,33849.71637,18041.52474,17653.92153,16283.1039,22620.0222,27945.00963,13564.47596,14017.11569
101.1823__50.94,2996.44672,4427.6097,134.45733,65.1322,391.8891,199.72455,130.24501,110.68286,157.47965,66.97265,105.44887,3410.05441,301.6566,231.68633,309.43976,868.23471,237.72744,80.85392,1033.59974,257.3986,186.8313,343.81068,293.22468,149.33544,96.06289,2022.62864,208.65273,178.74728,249.60868,82.38241,807.61305,228.67487,371.6713,206.45617,180.1309,83.57788,144.20747,174.11634,448.33076,169.48167,384.91666,459.09377,63.88146,132.39441,99.56568,216.60835,206.07212,48.47047,279.38936,165.94949,97.05869,439.29933,269.77644,81.3583,232.94502,209.56491,233.53419,128.38283,440.55444,565.55395,301.14671,224.24269,308.07305,1570.82555,1240.77792,1027.39043,952.66599,64.80066,116.94865,799.98854,1489.27513,1744.75197,409.61007,205.49911,126.12723
101.1978__167.82,175.91479,420.08145,123.01634,113.83309,411.17764,223.00644,563.80621,183.79535,254.53287,154.0034,226.93408,303.3797,269.84221,180.35447,500.80389,455.26517,195.08352,641.20534,194.36752,721.50555,202.93406,216.96856,788.15793,505.5877,171.84781,292.24244,421.66754,211.95416,375.21735,54.00225,385.43175,587.05439,404.88653,554.12146,360.96464,140.24473,377.3312,114.34818,401.66768,418.16782,186.47572,185.56531,63.7664,813.07755,293.37468,288.35568,1049.60774,344.16126,263.9352,377.92679,625.17419,671.19994,1983.64733,504.08462,207.25109,234.01884,98.64548,388.39064,277.20767,438.78932,756.15268,285.78635,811.05269,384.67421,505.63536,223.37084,160.79395,487.70415,232.95583,542.53973,594.73116,806.537,200.83227,524.1616,222.87068
101.4249__182.75,433.87471,379.4435,179.45604,512.84591,417.28343,194.22081,287.66271,454.88128,84.17333,489.42915,211.24911,171.36887,309.37871,115.895,344.82613,453.40665,118.10261,807.7534,190.828,588.10719,1011.32602,836.36698,516.40312,94.3618,297.9494,565.45493,339.94749,835.46946,458.19402,154.31414,226.8384,292.70662,827.64944,327.96561,96.17798,413.78883,201.15095,248.20711,317.53976,389.74812,130.25393,588.11254,259.88385,519.08776,304.85713,250.44515,388.51334,258.09189,193.65236,412.28925,538.38128,235.50863,194.20918,357.41917,180.92471,619.09741,186.83213,287.55585,368.85219,257.85712,1096.44463,371.22835,602.41961,312.49713,164.89956,184.77155,444.59941,358.44871,350.20514,421.82255,449.4579,386.77366,768.3124,280.40666,477.87601
101.6589__517.03,1418.87721,497.12928,336.29536,157.84423,745.5563,1034.77119,1740.30013,1087.72064,191.35364,589.94916,362.01247,677.10897,523.40227,1278.49166,1065.65235,408.57281,409.10036,659.64266,227.44421,2138.76687,894.46682,543.63609,1708.66064,284.39837,1246.15775,562.89222,152.24122,991.07583,875.3753,888.53663,379.8178,824.58578,445.49295,548.96378,266.34246,386.73941,197.87772,409.1028,1058.65064,208.25887,739.67329,181.54492,373.69553,632.94972,816.4904,1159.57531,1801.43315,211.40067,318.48224,581.62612,2042.88253,503.17597,609.1617,679.85741,453.71105,428.91806,530.42734,1130.1977,998.75354,571.2236,1056.61372,415.07596,508.65582,1071.68681,1295.12955,529.46519,619.06686,891.69385,493.82523,327.13745,1535.43418,787.47719,354.10911,275.70173,1388.40208
101.7846__174.31,210.44341,46.88438,320.28017,79.38162,862.73452,214.37777,72.55437,302.43854,364.10214,550.65546,454.44742,133.13433,134.74847,295.08013,715.69028,174.1018,445.06757,270.894,547.33285,477.35525,556.97799,196.7372,714.34385,364.66997,84.71598,150.72388,402.43563,558.35571,175.66319,272.02028,839.80505,580.79819,284.5852,1013.84949,743.71069,191.29583,325.85275,800.98381,876.99286,251.46718,652.23395,645.58696,198.1038,625.6487,407.536,179.55691,527.76502,186.80374,168.77421,340.64285,401.79553,192.86767,496.90094,157.94776,676.19535,710.12714,195.46834,261.58408,172.22861,154.12542,274.92597,263.12753,785.06237,100.02166,326.01146,274.99411,188.44512,500.29039,165.79896,549.96223,633.59133,453.34512,149.47101,183.3434,146.13752
101.89__508.19,575.19962,980.46545,194.3665,898.87589,1480.62582,114.4602,339.8561,1266.86473,1270.01401,409.75379,768.57006,774.16777,689.63261,641.3328,370.40617,121.60919,340.56247,390.44684,862.08975,940.9257,385.00487,546.82969,1521.77236,338.77843,704.14598,101.70256,1140.1439,1218.86565,1977.76772,501.14991,1382.4494,1793.78788,430.08496,790.75506,648.07427,291.87997,709.81361,510.53461,236.85019,631.95752,648.39402,869.21026,703.93669,404.19267,315.42813,906.16047,564.41192,387.40938,317.88288,324.88244,1177.72907,392.78411,2193.65488,400.1492,459.1796,794.50576,685.17275,195.62332,673.85933,163.23568,948.80156,692.21298,434.89463,730.50965,722.94482,234.19653,596.67097,867.74365,918.65164,1493.49972,861.0673,1022.64236,443.54639,510.82699,398.73478
102.0566__281.86,871.20485,1960.64018,183.59465,188.7318,2799.48598,522.48976,8035.0406,459.66587,1245.45937,326.45534,176.17581,55.43677,2070.57109,181.7913,1571.91386,537.58955,538.97866,416.11676,638.70496,345.89874,369.04478,385.98565,678.41412,306.95878,6046.34792,555.28274,189.68593,278.20402,1977.60158,322.27669,359.15326,10993.73382,148.87663,114.43013,9941.33042,2229.61226,2364.11512,88.53108,14491.57464,1771.34783,195.61303,2759.20387,281.55062,13569.28699,1349.28435,197.65991,6586.15637,306.96742,1675.6617,2812.08294,351.28651,601.80353,103.85895,1822.22868,158.65366,134.15348,227.26851,690.05426,179.91929,634.26299,171.83917,2259.76671,3911.95195,641.57396,1724.3811,174.12492,274.70685,4813.27184,2565.78279,291.96213,487.3145,3033.53061,179.6307,1922.10514,150.83403
102.0917__396.73,5410.61853,9850.4162,5744.34219,5948.13201,3188.95772,126.40376,9837.83891,1530.60851,6230.90466,16406.34195,5807.85394,128.09291,235.43673,131.3272,485.34066,361.11483,7148.25268,142.62101,14970.49271,538.42022,276.36385,144.50328,8425.99048,111.27447,5969.11429,2086.27129,6072.3015,71.3188,366.12524,605.86155,7109.84156,606.71986,9589.85183,6877.01517,8124.14341,235.47315,173.68902,7995.48774,2069.95818,8917.36919,6432.939,56.2113,294.08906,30077.18995,5995.79997,225.19269,5088.02608,68.05235,159.73252,366.47586,9024.47597,225.259,9977.76414,225.03914,343.28987,248.13456,272.93348,242.71871,7865.70878,193.87608,9468.56124,10903.97885,13492.76633,8226.83252,189.38027,6615.01383,125.45702,11404.68646,313.34285,153.86781,89.75274,216.50019,191.36355,332.78651,153.45713
102.092__46.55,70.39237,2228.41364,2874.13026,3227.66026,5123.62732,99.72626,199.39321,279.66238,219.50873,2946.49143,284.5951,134.04703,3453.64863,3160.73113,92.80738,9235.84069,1718.31821,269.14064,7360.10093,8607.8595,7858.56447,7993.20357,8123.60432,169.80171,254.09317,5221.72158,3543.28148,7805.86698,20786.84888,2888.15426,3225.42724,10020.55319,186.78113,33984.58727,220.70522,310.70312,5514.88607,247.03581,5973.51331,3194.46699,94.49764,5263.55228,2286.3777,489.09354,2064.38667,80.0667,6036.24689,137.47966,3981.93919,12622.88827,77.98849,2873.08635,12555.93896,6554.67167,3379.70094,4683.49429,6304.93624,2427.40421,18425.02334,208.24916,9716.48896,4779.35866,23305.50429,3175.27393,384.15429,3543.51111,6523.67835,4847.01869,7138.70277,7531.26671,13984.15954,5213.37646,246.42143,4301.86745,113.13428
